companyName	id
N and W Cab Co	1
Omar Jada	2
Sbeih company	3
24 Seven Taxi	4
Benny Jona	5
JBL Cab Inc.	6
G.L.B. Cab Co	7
312 Medallion Management Corp	8
RC Andrews Cab	9
Chuks Cab	10
David K. Cab Corp.	11
Arrington Enterprises	12
Santamaria Express, Alvaro Santamaria	13
Adwar H. Nikola	14
Jay Kim	15
5 Star Taxi	16
Salifu Bawa	17
Sam Mestas	18
Ahzmi Inc	19
Sergey Cab Corp.	20
Babylon Express Inc.	21
Tasha ride inc	22
Luhak Corp	23
American United	24
American United Taxi Affiliation	25
Blue Diamond	26
Blue Ribbon Taxi Association Inc.	27
Checker Taxi	28
Checker Taxi Affiliation	29
Chicago Carriage Cab Corp	30
Chicago Independents	31
Chicago Medallion Management	32
Chicago Star Taxicab	33
Chicago Taxicab	34
Choice Taxi Association	35
City Service	36
Flash Cab	37
Globe Taxi	38
Gold Coast Taxi	39
KOAM Taxi Association	40
Leonard Cab Co	41
Medallion Leasin	42
Metro Jet Taxi A	43
Nova Taxi Affiliation Llc	44
Patriot Taxi Dba Peace Taxi Associat	45
Petani Cab Corp	46
Setare Inc	47
Star North Management LLC	48
Sun Taxi	49
Taxi Affiliation Service Yellow	50
Taxi Affiliation Services	51
Taxicab Insurance Agency, LLC	52
Top Cab Affiliation	53
U Taxicab	54
Yellow Cab	55
